Resin.Pi,Bic.Pi,Bic.Po,OH.Pi,OH.Po,acid.Pi,PME
3.779337148,4.441897249,8.665651335,45.81982352,28.16032961,58.17075574,2.202525498
2.470723176,4.961253687,10.10464763,43.38078417,32.1643114,86.05393706,2.014327343
4.383549753,5.101874455,10.60697057,49.27287041,34.5615386,59.8824434,2.151529869
4.873727664,7.770014528,12.46148675,67.51323361,23.77373119,115.9723115,2.070179699
2.705718683,3.201969388,8.255720916,36.27574467,45.08991461,59.59930314,1.779990287
5.08581687,5.590644914,10.62662778,53.33410603,29.38462507,61.56985635,1.936619718
4.205097087,5.797610682,13.04865288,48.29299914,32.97037677,98.92857143,1.817629917
5.257671731,6.032889799,10.58008849,58.26937953,36.20850532,79.35981576,1.61243322
3.349121704,4.311766629,10.90699929,40.66632017,27.61480718,44.09620991,1.788489558
5.23510375,4.779670125,15.62734495,35.27123901,41.67993999,97.68907563,2.767119961
14.78010433,14.1511784,27.41286473,31.03808959,73.07441887,88.00461976,7.117532783
8.199263983,13.19288794,24.95907511,23.61556214,66.56777858,101.620179,5.616804274
6.829108691,10.27420003,20.75273576,19.96512648,120.1586372,93.99652801,6.240893638
6.289734365,9.161698424,21.32598995,20.34791004,126.2221435,91.85949414,4.946576008
12.34586517,15.26154021,24.48346574,35.41246519,146.4944014,102.4531025,6.76056338
14.35271076,17.8646598,31.39510529,36.72758157,150.4703822,119.9964639,4.711024769
12.15462473,16.62458864,28.9882159,45.31632811,201.201937,97.59475219,4.643030597
11.57584037,12.76763296,27.95402206,36.39035714,200.5397524,70.1902369,4.525012142
11.44033273,15.01468163,26.37456695,30.43415001,144.2300954,103.8226849,8.737251093
13.51518921,17.03502321,28.11527623,35.5413365,133.4456721,100.0493086,4.691597863
9.734777076,11.56068132,27.54026972,30.71112099,158.0371062,72.81553398,5.556095192
8.48783931,9.883187288,23.28066165,27.89145044,139.0975881,85.04373178,4.329771734
8.279579226,11.77032672,26.44167577,31.04476846,160.1145365,86.84301266,4.436619718
11.0637694,10.06981264,25.1272803,30.66692007,172.2230705,89.32177866,4.783875668
15.66298765,8.998541281,28.48881471,32.84519787,207.0362623,65.32106782,6.466731423
8.534487649,9.074094553,25.68037457,32.55100572,173.3849293,61.47222772,5.524526469
10.45370884,12.46574648,23.07590607,31.42012552,142.1514483,86.27073001,3.438562409
9.795711974,15.63566248,30.52093802,34.71371176,160.3611059,74.82608602,4.769548324
7.26159381,14.434435,31.49419543,42.61801662,183.6393485,63.53194544,4.924720738
16.09389262,21.0030463,40.93622636,56.37872643,221.2019065,67.96536797,5.376396309
28.83495146,27.84609979,39.89129554,59.79904927,172.2692361,92.85714286,4.011656144
11.43792566,23.05059383,40.4504758,66.17356175,245.0826432,67.33653163,5.934677028
19.29338834,21.90877635,41.67094608,59.7698321,217.4659348,75.61120895,5.437105391
13.51622128,14.1591812,34.49593387,61.15754726,252.7621044,35.89816124,5.684798446
7.905204962,11.65467039,22.71398702,36.12016884,115.6524658,54.55266955,3.555123847
13.81909548,12.61321438,26.62164511,40.80876062,131.8440106,33.09100798,8.149587178
6.369819132,11.68261805,24.53671746,40.9118629,132.2391909,24.29296592,4.858912093
8.021396868,8.609562284,22.40529085,38.27343473,141.4000261,23.67551148,6.063623118
14.09115426,6.936762442,28.28769047,48.39679171,231.0849057,25.88940721,5.543953375
12.92021028,11.46612245,30.53371475,50.93945708,240.8212901,29.62726866,5.789218067
9.583974663,13.60167458,30.96700754,45.30482535,220.3586549,33.17073171,4.633317144
13.21293323,11.67383181,30.05262641,50.20063179,233.5398907,31.75535924,5.390966489
7,5.1,19.5,19,68.8,9.2,0.056070735
1.5,3,17.5,21.1,66,1.1,0.145208828
1.4,2.3,13.1,12.7,34.1,0.6,0.122205449
2.7,2.3,23.2,19.6,61.5,2.7,0.114298038
3.2,3.7,18.8,16.8,40.4,3.5,0.063978147
5.8,4,13.9,11.9,35.5,2.7,0.102077493
3.6,3.5,16.3,19,37.3,7.5,0.02444109
3.7,3,16.6,15.2,41.6,1.8,0.098483215
4.3,3.1,16.3,14.9,51.9,6,0.078355258
3.2,2.3,21.9,24.1,57,3,0.033786212
4.9,4,9.7,11.6,27.9,3.5,0.013658256
2.2,4.2,5.1,16.1,11.1,0.6,0.031629646
2.2,4.1,8.5,19,23.3,0.5,0.054633024
4.9,4.8,19,21,47.6,1.6,0.012220545
4.2,6.1,15.8,24.4,40.4,1.7,0.032348501
7.3,6.8,6.3,22.3,25.4,7.2,0.013658256
3.3,4.8,9.4,25.1,9.1,1,0.053195313
2.8,4.2,8,14.8,14.8,1.2,0.027316512
4,4.3,15,20.7,39.3,2.2,0.050319891
2.5,3,6.6,17.6,0.9,1.4,0.028035368
2,3.1,5.1,19.7,4,0.9,0.015095967
2.9,4,12.3,23.1,19.9,1.4,0.031629646
6.4,6.8,12.8,13.8,33.8,1.5,0.175400762
5.1,5.3,12.7,27.8,16.5,1.1,0.033786212
3,7.6,10.6,26.1,28.3,3.8,0.043131335
3.6,5.6,12.7,19.5,21.6,0.9,0.081949536
3.4,10.2,4.5,25.3,6.7,2.3,0.066853569
2,11.6,18.2,36,58.7,3.2,0.003594278
5.8,11.8,13.4,36.8,54.8,7.3,0.11070376
3.3,10.1,13.8,30.3,42.7,2.3,0.049601035
6.6,5.3,33.1,53.6,56.1,12.8,0.086981525
6.7,7.5,37.9,50.5,68.4,9.1,0.058946158
6.1,12.2,8.6,29.4,44.7,2.7,0.124362016
5.4,10.1,22.5,42.3,84.7,3.6,0.121486593
5.1,12.2,1,3,39.5,0.19,8.504494285
4.1,10.2,0.8,6.7,35.1,0.33,6.56346704
2.6,7.2,1.2,2.9,40.4,0.14,6.555664582
3.7,8.6,0.3,3.3,40.1,0.21,8.797044785
5.2,12.9,0.7,1.6,39.7,0.57,9.677287758
6.5,7.7,5.5,10.8,76.8,38.8,1.827096542
7.1,7.8,3.1,11.3,65.7,25.2,1.055014018
6.9,6.7,3,12.5,87.7,35.1,1.01752498
6.1,7,14.1,11.8,87.6,40,1.884193803
10.5,7.5,15.9,11.6,77.6,34.8,1.573533175
9.3,7.7,7,12.8,92.3,37.4,1.470146647
13.4,11.6,21.7,17.4,167.1,84.8,2.421536194
11.7,14.2,17,17.3,137.1,73.6,2.318136007
12.6,11.6,8.9,16.3,115.2,62.4,1.847422903
10.2,10,14.4,10.8,125.8,66.7,2.469242326
12.1,12.3,18.2,12.3,118.7,58.3,2.205717058
12.8,9.6,9.3,14.4,115.2,75.6,1.753843002
10.3,8.4,10.1,12.3,135.2,51.8,3.788258213
7.4,9.4,15,14.1,83.1,42.7,3.468227302
7.4,7.7,6.5,10.3,83.1,39.1,2.24413342
